time,local_time,electricity,day,month,,,,,,,,,,,
2019-01-01 0:00,2018-12-31 16:00,1.34,01-01,01 January,,,,,,,,,,,
2019-01-01 1:00,2018-12-31 17:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 2:00,2018-12-31 18:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 3:00,2018-12-31 19:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 4:00,2018-12-31 20:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 5:00,2018-12-31 21:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 6:00,2018-12-31 22:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 7:00,2018-12-31 23:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 8:00,2019-01-01 0:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 9:00,2019-01-01 1:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 10:00,2019-01-01 2:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 11:00,2019-01-01 3:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 12:00,2019-01-01 4:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 13:00,2019-01-01 5:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 14:00,2019-01-01 6:00,0.00,01-01,01 January,,,,,,,,,,,
2019-01-01 15:00,2019-01-01 7:00,0.51,01-01,01 January,,,,,,,,,,,
2019-01-01 16:00,2019-01-01 8:00,3.57,01-01,01 January,,,,,,,,,,,
2019-01-01 17:00,2019-01-01 9:00,5.70,01-01,01 January,,,,,,,,,,,
2019-01-01 18:00,2019-01-01 10:00,6.92,01-01,01 January,,,,,,,,,,,
2019-01-01 19:00,2019-01-01 11:00,7.49,01-01,01 January,,,,,,,,,,,
2019-01-01 20:00,2019-01-01 12:00,7.48,01-01,01 January,,,,,,,,,,,
2019-01-01 21:00,2019-01-01 13:00,6.89,01-01,01 January,,,,,,,,,,,
2019-01-01 22:00,2019-01-01 14:00,5.67,01-01,01 January,,,,,,,,,,,
2019-01-01 23:00,2019-01-01 15:00,3.62,01-01,01 January,,,,,,,,,,,
2019-01-02 0:00,2019-01-01 16:00,0.78,01-02,01 January,,,,,,,,,,,
2019-01-02 1:00,2019-01-01 17:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 2:00,2019-01-01 18:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 3:00,2019-01-01 19:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 4:00,2019-01-01 20:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 5:00,2019-01-01 21:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 6:00,2019-01-01 22:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 7:00,2019-01-01 23:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 8:00,2019-01-02 0:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 9:00,2019-01-02 1:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 10:00,2019-01-02 2:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 11:00,2019-01-02 3:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 12:00,2019-01-02 4:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 13:00,2019-01-02 5:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 14:00,2019-01-02 6:00,0.00,01-02,01 January,,,,,,,,,,,
2019-01-02 15:00,2019-01-02 7:00,0.38,01-02,01 January,,,,,,,,,,,
2019-01-02 16:00,2019-01-02 8:00,3.11,01-02,01 January,,,,,,,,,,,
2019-01-02 17:00,2019-01-02 9:00,5.24,01-02,01 January,,,,,,,,,,,
2019-01-02 18:00,2019-01-02 10:00,6.51,01-02,01 January,,,,,,,,,,,
2019-01-02 19:00,2019-01-02 11:00,7.12,01-02,01 January,,,,,,,,,,,
2019-01-02 20:00,2019-01-02 12:00,7.14,01-02,01 January,,,,,,,,,,,
2019-01-02 21:00,2019-01-02 13:00,6.56,01-02,01 January,,,,,,,,,,,
2019-01-02 22:00,2019-01-02 14:00,5.35,01-02,01 January,,,,,,,,,,,
2019-01-02 23:00,2019-01-02 15:00,3.40,01-02,01 January,,,,,,,,,,,
2019-01-03 0:00,2019-01-02 16:00,0.80,01-03,01 January,,,,,,,,,,,
2019-01-03 1:00,2019-01-02 17:00,0.00,01-03,01 January,,,,,,,,,,,
2019-01-03 2:00,2019-01-02 18:00,0.00,01-03,01 January,,,,,,,,,,,
