Timestamp,kW orig,hour,yyyymm,kW
2024-08-01 00:00:00,1.1211,0,2024-08,1.1211
2024-08-01 01:00:00,1.1531,1,2024-08,1.1531
2024-08-01 02:00:00,1.0261,2,2024-08,1.0261
2024-08-01 03:00:00,0.9369,3,2024-08,0.9369
2024-08-01 04:00:00,0.2966,4,2024-08,0.2966
2024-08-01 05:00:00,0.8032,5,2024-08,0.8032
2024-08-01 06:00:00,1.0509,6,2024-08,1.0509
2024-08-01 07:00:00,1.0842,7,2024-08,1.0842
2024-08-01 08:00:00,1.034,8,2024-08,1.034
2024-08-01 09:00:00,0.9856,9,2024-08,0.9856
2024-08-01 10:00:00,2.1351,10,2024-08,2.1351
2024-08-01 11:00:00,1.106,11,2024-08,1.106
2024-08-01 12:00:00,0.4041,12,2024-08,8.5343
2024-08-01 13:00:00,0.3503,13,2024-08,8.3484
2024-08-01 14:00:00,0.3074,14,2024-08,5.7555
2024-08-01 15:00:00,0.3182,15,2024-08,0.3669
2024-08-01 16:00:00,1.015099,16,2024-08,1.015099
2024-08-01 17:00:00,0.9717,17,2024-08,0.9717
2024-08-01 18:00:00,0.5301,18,2024-08,0.5301
2024-08-01 19:00:00,0.3788,19,2024-08,0.3788
2024-08-01 20:00:00,0.4274,20,2024-08,0.4274
2024-08-01 21:00:00,0.3278,21,2024-08,0.3278
2024-08-01 22:00:00,0.4506,22,2024-08,0.4506
2024-08-01 23:00:00,0.3911,23,2024-08,0.3911
2024-08-02 00:00:00,1.0646,0,2024-08,1.0646
2024-08-02 01:00:00,1.0669,1,2024-08,1.0669
2024-08-02 02:00:00,0.9792,2,2024-08,0.9792
2024-08-02 03:00:00,0.9718,3,2024-08,0.9718
2024-08-02 04:00:00,0.3606,4,2024-08,0.3606
2024-08-02 05:00:00,0.769,5,2024-08,0.769
2024-08-02 06:00:00,1.0554,6,2024-08,1.0554
2024-08-02 07:00:00,0.9935,7,2024-08,0.9935
2024-08-02 08:00:00,1.0579,8,2024-08,1.0579
2024-08-02 09:00:00,1.0297,9,2024-08,1.0297
2024-08-02 10:00:00,2.1333,10,2024-08,2.1333
2024-08-02 11:00:00,1.0949,11,2024-08,1.0949
2024-08-02 12:00:00,0.3762,12,2024-08,9.143
2024-08-02 13:00:00,0.3117,13,2024-08,5.7621
2024-08-02 14:00:00,0.2624,14,2024-08,0.5581
2024-08-02 15:00:00,0.3642,15,2024-08,0.4034
2024-08-02 16:00:00,0.9567,16,2024-08,0.9567
2024-08-02 17:00:00,0.8831,17,2024-08,0.8831
2024-08-02 18:00:00,0.4274,18,2024-08,0.4274
2024-08-02 19:00:00,0.3203,19,2024-08,0.3203
2024-08-02 20:00:00,0.4062,20,2024-08,0.4062
2024-08-02 21:00:00,0.3956,21,2024-08,0.3956
2024-08-02 22:00:00,0.4384,22,2024-08,0.4384
2024-08-02 23:00:00,0.3808,23,2024-08,0.3808
2024-08-03 00:00:00,1.0285,0,2024-08,1.0285
2024-08-03 01:00:00,1.0905,1,2024-08,1.0905
2024-08-03 02:00:00,1.0804,2,2024-08,1.0804
2024-08-03 03:00:00,1.0741,3,2024-08,1.0741
2024-08-03 04:00:00,0.3574,4,2024-08,0.3574
2024-08-03 05:00:00,0.7982,5,2024-08,0.7982
2024-08-03 06:00:00,0.9817,6,2024-08,0.9817
2024-08-03 07:00:00,1.0115,7,2024-08,1.0115
2024-08-03 08:00:00,1.079,8,2024-08,1.079
2024-08-03 09:00:00,1.0765,9,2024-08,1.0765
2024-08-03 10:00:00,2.1158,10,2024-08,2.1158
2024-08-03 11:00:00,1.088,11,2024-08,1.088
2024-08-03 12:00:00,0.3171,12,2024-08,0.7486
2024-08-03 13:00:00,0.2758,13,2024-08,0.9436
2024-08-03 14:00:00,0.2865,14,2024-08,0.7175
2024-08-03 15:00:00,0.4331,15,2024-08,0.466
2024-08-03 16:00:00,1.020799,16,2024-08,1.020799
2024-08-03 17:00:00,0.9733,17,2024-08,0.9733
2024-08-03 18:00:00,0.4413,18,2024-08,0.4413
2024-08-03 19:00:00,0.5491,19,2024-08,0.5491
2024-08-03 20:00:00,0.4932,20,2024-08,0.4932
2024-08-03 21:00:00,0.4946,21,2024-08,0.4946
2024-08-03 22:00:00,0.4031,22,2024-08,0.4031
2024-08-03 23:00:00,0.3724,23,2024-08,0.3724
2024-08-04 00:00:00,1.0426,0,2024-08,1.0426
2024-08-04 01:00:00,0.9985,1,2024-08,0.9985
2024-08-04 02:00:00,1.1825,2,2024-08,1.1825
2024-08-04 03:00:00,0.9918,3,2024-08,0.9918
2024-08-04 04:00:00,0.4234,4,2024-08,0.4234
2024-08-04 05:00:00,0.6752,5,2024-08,0.6752
2024-08-04 06:00:00,1.0038,6,2024-08,1.0038
2024-08-04 07:00:00,0.9821,7,2024-08,0.9821
2024-08-04 08:00:00,1.0341,8,2024-08,1.0341
2024-08-04 09:00:00,1.1382,9,2024-08,1.1382
2024-08-04 10:00:00,2.058399,10,2024-08,2.058399
2024-08-04 11:00:00,1.0549,11,2024-08,1.0549
2024-08-04 12:00:00,0.3029,12,2024-08,8.5817
2024-08-04 13:00:00,0.2442,13,2024-08,6.4565
2024-08-04 14:00:00,0.3467,14,2024-08,0.9848
2024-08-04 15:00:00,0.4311,15,2024-08,0.9355
2024-08-04 16:00:00,1.0116,16,2024-08,1.0116
