Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-01 00:00:00,1.1211,summer,summer off peak,off peak,1.0,8,0,1,2024-08,2024-08-01
2024-08-01 01:00:00,1.1531,summer,summer off peak,off peak,1.0,8,1,1,2024-08,2024-08-01
2024-08-01 02:00:00,1.0261,summer,summer off peak,off peak,1.0,8,2,1,2024-08,2024-08-01
2024-08-01 03:00:00,0.9369,summer,summer off peak,off peak,1.0,8,3,1,2024-08,2024-08-01
2024-08-01 04:00:00,0.2966,summer,summer off peak,off peak,1.0,8,4,1,2024-08,2024-08-01
2024-08-01 05:00:00,0.8032,summer,summer off peak,off peak,1.0,8,5,1,2024-08,2024-08-01
2024-08-01 06:00:00,1.0509,summer,summer off peak,off peak,1.0,8,6,1,2024-08,2024-08-01
2024-08-01 07:00:00,1.0842,summer,summer off peak,off peak,1.0,8,7,1,2024-08,2024-08-01
2024-08-01 08:00:00,1.034,summer,summer off peak,off peak,1.0,8,8,1,2024-08,2024-08-01
2024-08-01 09:00:00,0.9856,summer,summer off peak,off peak,1.0,8,9,1,2024-08,2024-08-01
2024-08-01 10:00:00,2.1351,summer,summer off peak,off peak,1.0,8,10,1,2024-08,2024-08-01
2024-08-01 11:00:00,1.106,summer,summer off peak,off peak,1.0,8,11,1,2024-08,2024-08-01
2024-08-01 12:00:00,8.5343,summer,summer off peak,off peak,1.0,8,12,1,2024-08,2024-08-01
2024-08-01 13:00:00,8.3484,summer,summer off peak,off peak,1.0,8,13,1,2024-08,2024-08-01
2024-08-01 14:00:00,5.7555,summer,summer off peak,off peak,1.0,8,14,1,2024-08,2024-08-01
2024-08-01 15:00:00,0.3669,summer,summer part peak,part peak,1.0,8,15,1,2024-08,2024-08-01
2024-08-01 16:00:00,1.015099,summer,summer peak,peak,1.0,8,16,1,2024-08,2024-08-01
2024-08-01 17:00:00,0.9717,summer,summer peak,peak,1.0,8,17,1,2024-08,2024-08-01
2024-08-01 18:00:00,0.5301,summer,summer peak,peak,1.0,8,18,1,2024-08,2024-08-01
2024-08-01 19:00:00,0.3788,summer,summer peak,peak,1.0,8,19,1,2024-08,2024-08-01
2024-08-01 20:00:00,0.4274,summer,summer peak,peak,1.0,8,20,1,2024-08,2024-08-01
2024-08-01 21:00:00,0.3278,summer,summer part peak,part peak,1.0,8,21,1,2024-08,2024-08-01
2024-08-01 22:00:00,0.4506,summer,summer part peak,part peak,1.0,8,22,1,2024-08,2024-08-01
2024-08-01 23:00:00,0.3911,summer,summer part peak,part peak,1.0,8,23,1,2024-08,2024-08-01
2024-08-02 00:00:00,1.0646,summer,summer off peak,off peak,1.0,8,0,2,2024-08,2024-08-02
2024-08-02 01:00:00,1.0669,summer,summer off peak,off peak,1.0,8,1,2,2024-08,2024-08-02
2024-08-02 02:00:00,0.9792,summer,summer off peak,off peak,1.0,8,2,2,2024-08,2024-08-02
2024-08-02 03:00:00,0.9718,summer,summer off peak,off peak,1.0,8,3,2,2024-08,2024-08-02
2024-08-02 04:00:00,0.3606,summer,summer off peak,off peak,1.0,8,4,2,2024-08,2024-08-02
2024-08-02 05:00:00,0.769,summer,summer off peak,off peak,1.0,8,5,2,2024-08,2024-08-02
2024-08-02 06:00:00,1.0554,summer,summer off peak,off peak,1.0,8,6,2,2024-08,2024-08-02
2024-08-02 07:00:00,0.9935,summer,summer off peak,off peak,1.0,8,7,2,2024-08,2024-08-02
2024-08-02 08:00:00,1.0579,summer,summer off peak,off peak,1.0,8,8,2,2024-08,2024-08-02
2024-08-02 09:00:00,1.0297,summer,summer off peak,off peak,1.0,8,9,2,2024-08,2024-08-02
